Datum,Uhrzeit,PM10,Temp_Kalkleiten,Temp_Graz,WIGE,Train
20.01.19,00:00,18.86912,-3.9447963,-1.0165395,0.36897162,0
21.01.19,00:00,23.189363,-2.880354,0.34037745,0.34779927,0
22.01.19,00:00,37.738674,-3.5376518,0.087836765,0.38589546,0
23.01.19,00:00,38.50536,-4.893101,-0.97446257,0.51325303,0
24.01.19,00:00,44.81082,-6.0695934,-2.7573214,0.42394534,0
25.01.19,00:00,41.309784,-3.7809126,-0.6196552,0.64031684,0
26.01.19,00:00,39.20338,-3.9099433,-1.9881922,0.6308397,0
27.01.19,00:00,42.776867,-0.77761215,-2.5468411,0.3187231,0
28.01.19,00:00,62.451496,1.751952,-0.25791502,0.29402742,0
29.01.19,00:00,36.226868,0.98841816,2.834134,0.3193755,0
30.01.19,00:00,26.321512,0.08054576,2.2470617,0.51981145,0
31.01.19,00:00,26.65806,-1.9241909,1.2806126,0.50080246,0
01.02.19,00:00,43.04793,-2.8646746,-0.6464353,0.34440592,0
02.02.19,00:00,35.357624,-0.4683113,1.0685786,0.34942952,0
03.02.19,00:00,21.864862,6.9238467,7.493095,0.33583477,0
04.02.19,00:00,12.691101,4.8010497,7.6684747,0.84790546,0
05.02.19,00:00,12.628037,0.55068535,4.3744583,0.9506113,0
06.02.19,00:00,28.833519,-0.93290573,1.7443887,0.3702412,0
07.02.19,00:00,33.375843,0.5937553,1.3383889,0.35054544,0
08.02.19,00:00,48.270294,-0.21704401,0.32968035,0.45651552,0
09.02.19,00:00,49.799717,2.276828,2.6212256,0.32359233,0
10.02.19,00:00,37.813374,3.116719,3.180562,0.32411534,0
11.02.19,00:00,35.616116,5.163413,4.7457833,0.36237916,0
12.02.19,00:00,12.5467,2.9194832,6.2260995,0.82059985,0
13.02.19,00:00,10.610786,1.4053122,5.529488,1.0170153,0
14.02.19,00:00,23.892065,2.9951975,5.395226,0.4153117,0
15.02.19,00:00,29.199476,6.260945,6.276917,0.42044064,0
16.02.19,00:00,25.521643,5.469408,5.348173,0.429335,0
17.02.19,00:00,31.439062,7.6951714,6.601683,0.40328243,0
18.02.19,00:00,33.757618,9.878575,6.970766,0.42783365,0
19.02.19,00:00,44.77454,8.908622,7.205383,0.5520426,0
20.02.19,00:00,40.4631,8.222556,7.457537,0.45506752,0
21.02.19,00:00,40.667084,6.969647,7.7017436,0.3542627,0
22.02.19,00:00,41.551212,7.097853,8.922634,0.40338662,0
23.02.19,00:00,14.209479,6.008304,8.885711,1.0988914,0
24.02.19,00:00,10.520709,-2.2879086,1.3120764,1.1042234,0
25.02.19,00:00,22.904348,-1.7940398,0.27888596,0.40949586,0
26.02.19,00:00,39.269516,7.396969,6.7823405,0.37579763,0
27.02.19,00:00,32.9737,10.775852,11.930413,0.9929754,0
28.02.19,00:00,27.183275,9.879951,10.232364,0.5578975,0
01.03.19,00:00,34.779003,13.399602,12.384029,0.57983065,0
02.03.19,00:00,17.334248,9.511922,12.237182,0.4625045,0
03.03.19,00:00,15.183795,5.322134,7.3852215,0.49312603,0
04.03.19,00:00,19.754824,8.262645,9.656767,0.34076622,0
05.03.19,00:00,24.589296,9.378023,11.166257,1.01729,0
06.03.19,00:00,13.205894,6.6406097,8.693549,0.6326776,0
07.03.19,00:00,19.625225,6.7760773,9.344241,0.48123613,0
08.03.19,00:00,19.859522,11.187366,14.769382,1.5649681,0
09.03.19,00:00,10.782383,7.450205,11.022,0.67081577,0
10.03.19,00:00,11.877025,7.353189,10.190165,0.65201765,0
11.03.19,00:00,13.550954,10.303304,11.717975,0.8911729,0
12.03.19,00:00,13.603432,4.7824903,9.105769,1.163238,0
13.03.19,00:00,18.017492,2.52575,6.180882,0.7157004,0
14.03.19,00:00,15.87019,1.5203573,4.0921693,0.6238473,0
15.03.19,00:00,22.069918,4.2963433,6.421595,0.5257709,0
